iter	Passed	Remaining
396	83482	105772
397	83720	105596
398	83927	105382
399	84146	105182
400	84317	104923
401	84518	104702
402	84722	104484
403	84970	104320
404	85165	104091
405	85378	103884
406	85581	103664
407	85800	103465
408	86022	103268
409	86233	103059
410	86467	102877
411	86705	102699
412	86925	102500
413	87142	102298
414	87367	102104
415	87580	101896
416	87805	101702
417	88019	101496
418	88231	101287
419	88425	101058
420	88642	100854
421	88833	100621
422	89037	100404
423	89291	100242
424	89482	100010
425	89715	99824
426	89940	99629
427	90131	99397
428	90350	99195
429	90547	98970
430	90700	98697
431	90925	98502
432	91133	98289
433	91382	98120
434	91590	97906
435	91800	97695
436	92017	97492
437	92212	97265
438	92431	97063
439	92654	96865
440	92853	96643
441	93028	96395
442	93265	96212
443	93494	96021
444	93707	95813
445	93912	95597
446	94082	95345
447	94328	95170
448	94504	94925
449	94740	94740
450	95018	94597
451	95208	94366
452	95414	94151
453	95606	93921
454	95844	93737
455	96043	93515
456	96281	93332
457	96518	93146
458	96726	92933
459	96952	92736
460	97129	92494
461	97380	92322
462	97589	92108
463	97832	91928
464	98070	91743
465	98258	91511
466	98451	91283
467	98684	91093
468	98878	90866
469	99104	90670
470	99315	90459
471	99532	90254
472	99724	90026
473	99920	89801
474	100113	89575
475	100341	89379
476	100541	89159
477	100757	88953
478	101009	88778
479	101219	88566
480	101430	88356
481	101666	88166
482	101867	87947
483	102083	87740
484	102316	87548
485	102530	87340
486	102688	87084
487	102858	86839
488	103093	86649
489	103330	86460
490	103544	86252
491	103771	86054
492	103983	85844
493	104226	85659
494	104456	85464
495	104681	85264
496	104894	85055
497	105079	84822
498	105306	84625
499	105499	84399
500	105671	84157
501	105894	83956
502	106119	83755
503	106351	83561
504	106553	83344
505	106747	83119
506	106968	82916
507	107165	82694
508	107399	82501
509	107612	82291
510	107813	82073
511	107993	81838
512	108199	81623
513	108385	81394
514	108569	81163
515	108792	80961
516	109004	80751
517	109189	80521
518	109426	80330
519	109623	80109
520	109852	79911
521	110083	79715
522	110315	79520
523	110539	79318
524	110743	79102
525	110975	78906
526	111188	78697
527	111392	78481
528	111586	78258
529	111813	78058
530	112042	77859
531	112243	77641
532	112483	77450
533	112716	77254
534	112944	77055
535	113179	76860
536	113402	76657
537	113601	76437
538	113829	76238
539	114034	76022
540	114261	75822
541	114484	75618
542	114715	75420
543	114926	75208
544	115124	74989
545	115319	74767
546	115495	74533
547	115724	74333
548	115970	74144
549	116178	73932
550	116367	73706
551	116603	73510
552	116838	73314
553	117079	73122
554	117291	72911
555	117497	72696
556	117698	72478
557	117895	72258
558	118142	72069
559	118332	71844
560	118502	71608
561	118725	71404
562	118936	71193
563	119169	70994
564	119401	70795
565	119595	70573
566	119820	70371
567	120054	70172
568	120273	69965
569	120453	69736
570	120617	69497
571	120815	69278
572	121015	69061
573	121216	68844
574	121420	68629
575	121641	68423
576	121864	68218
577	122085	68013
578	122240	67770
579	122473	67571
580	122678	67357
581	122877	67139
582	123101	66935
583	123313	66724
584	123529	66515
585	123735	66302
586	123938	66086
587	124168	65885
588	124386	65677
589	124600	65468
590	124818	65260
591	125047	65058
592	125292	64864
593	125557	64681
594	125764	64467
595	125972	64254
596	126167	64034
597	126372	63820
598	126597	63615
599	126833	63416
600	127059	63212
601	127296	63013
602	127528	62812
603	127756	62609
604	127984	62405
605	128189	62190
606	128398	61977
607	128613	61768
608	128803	61546
609	129020	61337
610	129271	61144
611	129487	60935
612	129741	60743
613	129951	60531
614	130131	60305
615	130352	60097
616	130591	59898
617	130806	59688
618	131015	59475
619	131216	59259
620	131449	59057
621	131684	58855
622	131918	58653
623	132135	58444
624	132361	58239
625	132585	58032
626	132757	57803
627	132941	57579
628	133180	57379
629	133383	57164
630	133601	56955
631	133828	56750
632	134032	56535
633	134230	56317
634	134455	56111
635	134645	55890
636	134854	55677
637	135098	55479
638	135308	55266
639	135542	55064
640	135741	54847
641	135956	54636
642	136141	54414
643	136355	54203
644	136560	53989
645	136795	53786
646	136997	53570
647	137204	53357
648	137413	53144
649	137645	52940
650	137859	52729
651	138069	52517
652	138271	52301
653	138472	52085
654	138730	51891
655	138898	51663
656	139123	51456
657	139322	51240
658	139545	51032
659	139790	50832
660	140001	50620
661	140200	50404
662	140428	50198
663	140682	50001
664	140879	49784
665	141119	49582
666	141342	49374
667	141546	49159
668	141733	48939
669	141933	48723
670	142180	48523
671	142386	48309
672	142641	48112
673	142882	47910
674	143102	47700
675	143293	47481
676	143502	47268
677	143692	47049
678	143911	46840
679	144146	46635
680	144383	46431
681	144628	46230
682	144878	46030
683	145103	45822
684	145346	45619
685	145563	45409
686	145761	45192
687	146002	44989
688	146196	44771
689	146426	44564
690	146638	44352
691	146854	44141
692	147095	43937
693	147338	43734
694	147573	43529
695	147783	43315
696	147988	43101
697	148217	42893
698	148393	42671
699	148639	42468
700	148869	42261
701	149059	42042
702	149272	41830
703	149456	41609
704	149620	41384
705	149839	41174
706	150054	40962
707	150290	40756
708	150480	40538
709	150718	40332
710	150922	40118
711	151138	39907
712	151345	39693
713	151570	39484
714	151790	39274
715	152017	39065
716	152220	38851
717	152433	38639
718	152645	38426
719	152897	38224
720	153114	38013
721	153347	37805
722	153555	37592
723	153792	37385
724	154007	37174
725	154239	36966
726	154501	36765
727	154739	36559
728	154979	36353
729	155222	36147
730	155400	35926
731	155611	35714
732	155799	35495
733	156018	35284
734	156217	35069
735	156460	34863
736	156653	34646
737	156882	34437
738	157100	34226
739	157301	34011
740	157484	33792
741	157728	33586
742	157914	33368
743	158136	33157
744	158326	32940
745	158581	32736
746	158786	32522
747	159000	32310
748	159220	32099
749	159449	31889
750	159655	31675
751	159885	31466
752	160121	31258
753	160295	31038
754	160528	30830
755	160745	30618
756	160942	30402
757	161118	30183
758	161350	29974
759	161582	29765
760	161778	29549
761	161992	29337
762	162220	29127
763	162408	28910
764	162598	28693
765	162837	28485
766	163070	28276
767	163281	28063
768	163534	27858
769	163755	27646
770	163963	27433
771	164183	27222
772	164403	27010
773	164617	26798
774	164790	26579
775	165055	26374
776	165284	26164
777	165502	25952
778	165745	25744
779	165978	25535
780	166188	25321
781	166444	25115
782	166666	24904
783	166875	24690
784	167093	24478
785	167298	24264
786	167494	24049
787	167757	23843
788	167945	23627
789	168148	23413
790	168344	23197
791	168559	22985
792	168810	22777
793	168967	22557
794	169202	22347
795	169390	22131
796	169615	21920
797	169815	21705
798	170038	21494
799	170255	21281
800	170487	21071
801	170706	20859
802	170955	20650
803	171147	20435
804	171409	20228
805	171606	20013
806	171785	19796
807	172044	19589
808	172279	19378
809	172498	19166
810	172733	18955
811	172958	18744
812	173161	18530
813	173400	18319
814	173595	18105
815	173833	17894
816	174016	17678
817	174207	17463
818	174418	17250
819	174653	17039
820	174865	16826
821	175082	16613
822	175307	16401
823	175543	16190
824	175733	15975
825	175962	15764
826	176191	15552
827	176430	15341
828	176645	15128
829	176844	14914
830	177042	14700
831	177229	14485
832	177445	14272
833	177666	14059
834	177895	13848
835	178105	13634
836	178288	13419
837	178517	13207
838	178781	12998
839	179001	12785
840	179228	12573
841	179462	12362
842	179666	12148
843	179870	11934
844	180075	11720
845	180308	11509
846	180538	11296
847	180730	11082
848	180879	10865
849	181087	10652
850	181320	10440
851	181522	10226
852	181744	10014
853	181945	9800
854	182186	9588
855	182400	9375
856	182588	9161
857	182802	8948
858	183020	8735
859	183256	8523
860	183457	8309
861	183663	8096
862	183896	7884
863	184108	7671
864	184304	7457
865	184507	7243
866	184758	7032
867	184986	6819
868	185237	6608
869	185480	6395
870	185710	6183
871	185889	5968
872	186087	5755
873	186280	5541
874	186508	5328
875	186749	5116
876	186958	4903
877	187199	4690
878	187451	4478
879	187670	4265
880	187890	4052
881	188073	3838
882	188314	3625
883	188527	3412
884	188742	3199
885	188979	2986
886	189185	2772
887	189367	2559
888	189589	2345
889	189802	2132
890	190038	1919
891	190216	1705
892	190440	1492
893	190654	1279
894	190900	1066
895	191110	853
896	191336	639
897	191631	426
898	191818	213
899	192056	0
