iter	RMSE
498	5434.811154
499	5432.061322
500	5428.053195
501	5422.981216
502	5417.7901
503	5414.154338
504	5410.173999
505	5403.853644
506	5399.531061
507	5392.830316
508	5388.723097
509	5386.68134
510	5380.736436
511	5374.477077
512	5368.580995
513	5362.681358
514	5355.958927
515	5348.132833
516	5343.932154
517	5337.748944
518	5333.756633
519	5330.182874
520	5323.952316
521	5321.262389
522	5317.928588
523	5314.129623
524	5309.920241
525	5306.501239
526	5302.229386
527	5296.680066
528	5289.629825
529	5287.124269
530	5285.382225
531	5278.611349
532	5274.991158
533	5271.742322
534	5264.953082
535	5262.792589
536	5256.785891
537	5254.105226
538	5251.216744
539	5245.040731
540	5242.663968
541	5237.374686
542	5231.735821
543	5228.847053
544	5223.38983
545	5218.152258
546	5214.711684
547	5211.572323
548	5207.699509
549	5202.910373
550	5196.876358
551	5192.540319
552	5189.2172
553	5185.41917
554	5181.830846
555	5176.736107
556	5172.396082
557	5167.342135
558	5164.13537
559	5161.223213
560	5158.438678
561	5154.184467
562	5148.951464
563	5145.580273
564	5142.264752
565	5135.970297
566	5130.228661
567	5127.224871
568	5124.347927
569	5119.31518
570	5115.86659
571	5110.764689
572	5106.13749
573	5102.994404
574	5100.529915
575	5096.665413
576	5092.325293
577	5089.327582
578	5086.019802
579	5082.145502
580	5079.973472
581	5074.400483
582	5070.999928
583	5066.66336
584	5061.618134
585	5056.270537
586	5050.110178
587	5046.722257
588	5043.391069
589	5034.834848
590	5030.625901
591	5027.671137
592	5025.860628
593	5022.508836
594	5018.989553
595	5014.734999
596	5012.046122
597	5008.762147
598	5005.025191
599	5002.736025
600	5000.56862
601	4996.136366
602	4991.794017
603	4988.448294
604	4982.957652
605	4980.067064
606	4975.384091
607	4970.828077
608	4968.135732
609	4965.895168
610	4962.006031
611	4954.263857
612	4951.553531
613	4949.885374
614	4945.450787
615	4944.28057
616	4940.179701
617	4939.251735
618	4937.643567
619	4932.572664
620	4927.939888
621	4926.201827
622	4923.47907
623	4920.694124
624	4917.813238
625	4913.690141
626	4910.654422
627	4907.747864
628	4905.698608
629	4902.489691
630	4898.086992
631	4895.514579
632	4893.833418
633	4891.080768
634	4888.105503
635	4884.366372
636	4880.079477
637	4878.894379
638	4874.362252
639	4871.326497
640	4869.485528
641	4868.387352
642	4865.9377
643	4859.713995
644	4856.971724
645	4853.634221
646	4850.165598
647	4844.466874
648	4842.417512
649	4839.142369
650	4836.056723
651	4834.543359
652	4832.742002
653	4828.772477
654	4825.580441
655	4822.573107
656	4820.186576
657	4815.610502
658	4812.692233
659	4810.476292
660	4806.453498
661	4804.915394
662	4803.142564
663	4799.130804
664	4795.091372
665	4792.281182
666	4788.933258
667	4783.094091
668	4778.73999
669	4775.136295
670	4771.877216
671	4768.837103
672	4766.705689
673	4762.866448
674	4761.507027
675	4758.09674
676	4756.274679
677	4755.073367
678	4753.781461
679	4749.55253
680	4744.689898
681	4740.904145
682	4739.025748
683	4734.74249
684	4730.800761
685	4727.435819
686	4725.717926
687	4723.425662
688	4716.179763
689	4713.272385
690	4710.927255
691	4704.335846
692	4702.122636
693	4698.564716
694	4696.364167
695	4692.816283
696	4691.914545
697	4690.421512
698	4688.572774
699	4685.832485
700	4681.307762
701	4676.82801
702	4675.008011
703	4671.536906
704	4668.955512
705	4667.579161
706	4665.538913
707	4663.248353
708	4661.766633
709	4660.015938
710	4656.120255
711	4652.313313
712	4646.896735
713	4644.545807
714	4638.22741
715	4635.186954
716	4634.182186
717	4631.643707
718	4627.934937
719	4626.363662
720	4622.754382
721	4620.74713
722	4618.579504
723	4615.009406
724	4610.386108
725	4606.509752
726	4603.320494
727	4600.342008
728	4598.084463
729	4595.605396
730	4590.656901
731	4588.584212
732	4584.228687
733	4580.498989
734	4579.406447
735	4578.487481
736	4574.670887
737	4573.23589
738	4567.733289
739	4564.246954
740	4561.050413
741	4558.959946
742	4556.101368
743	4552.642001
744	4547.720811
745	4546.24719
746	4545.2032
747	4540.349968
748	4537.054409
749	4535.655099
750	4534.331535
751	4531.814848
752	4529.721793
753	4528.529916
754	4525.985975
755	4522.978765
756	4521.694544
757	4518.88141
758	4515.31463
759	4513.539319
760	4510.245046
761	4507.912508
762	4505.555557
763	4504.005838
764	4502.337399
765	4500.052702
766	4496.560228
767	4494.102692
768	4491.495901
769	4489.399615
770	4487.621266
771	4483.862219
772	4481.007042
773	4479.219253
774	4476.659621
775	4475.138572
776	4473.442854
777	4468.999975
778	4467.584379
779	4464.793445
780	4462.976782
781	4461.684356
782	4457.363224
783	4455.814
784	4453.11274
785	4448.150231
786	4440.989778
787	4436.511595
788	4433.464617
789	4430.164021
790	4425.910104
791	4422.590112
792	4419.91806
793	4418.761181
794	4416.534445
795	4413.784448
796	4411.693455
797	4409.294615
798	4406.931831
799	4405.947254
800	4401.917026
801	4397.743849
802	4394.94412
803	4391.460949
804	4386.388951
805	4384.262915
806	4381.979063
807	4379.465286
808	4377.265648
809	4374.95588
810	4372.759047
811	4369.440892
812	4367.037651
813	4363.78337
814	4360.415529
815	4358.939167
816	4356.516318
817	4354.405022
818	4353.545964
819	4350.055333
820	4347.911604
821	4346.901238
822	4345.946917
823	4343.750835
824	4342.59426
825	4340.983748
826	4340.137776
827	4338.639749
828	4336.183005
829	4332.888131
830	4326.13061
831	4324.427748
832	4321.970079
833	4320.136143
834	4318.268063
835	4316.210709
836	4311.57039
837	4309.244073
838	4307.888883
839	4304.642541
840	4301.617121
841	4300.296289
842	4299.019576
843	4297.229312
844	4294.848075
845	4293.189225
846	4290.268716
847	4288.554569
848	4285.961076
849	4283.60659
850	4280.752463
851	4277.897101
852	4275.217171
853	4273.513079
854	4272.611294
855	4269.371708
856	4268.284336
857	4266.288926
858	4263.965624
859	4262.757468
860	4258.876929
861	4256.992978
862	4254.44475
863	4252.085418
864	4250.350433
865	4248.146519
866	4246.057826
867	4243.330806
868	4241.419313
869	4239.952129
870	4238.401298
871	4236.389784
872	4235.078819
873	4233.345245
874	4230.594586
875	4229.040046
876	4226.056584
877	4223.888779
878	4219.814165
879	4217.050977
880	4215.531933
881	4213.875491
882	4211.529965
883	4208.957371
884	4206.435672
885	4204.596886
886	4201.867335
887	4199.938839
888	4199.403186
889	4196.757441
890	4195.237311
891	4191.682676
892	4190.072448
893	4186.514489
894	4182.319091
895	4181.931643
896	4179.004768
897	4175.206281
898	4173.463804
899	4171.458192
